Scenario,datetime,WS,WD,TM,RH
DMC 12,2021-01-07 14:00:00,19.2,25.0,26.0,25.1
DMC 12,2021-01-07 15:00:00,17.7,13.0,26.4,25.0
DMC 12,2021-01-07 16:00:00,20.0,42.0,26.9,25.0
DMC 12,2021-01-07 17:00:00,20.1,358.0,27.1,25.0
DMC 12,2021-01-07 18:00:00,20.8,18.0,25.9,32.9
DMC 12,2021-01-07 19:00:00,27.3,355.0,22.3,36.7
DMC 12,2021-01-07 20:00:00,22.9,21.0,19.4,39.5
DMC 12,2021-01-07 21:00:00,17.3,353.0,17.2,43.6
DMC 12,2021-01-07 22:00:00,15.4,331.0,15.2,49.7
DMC 12,2021-01-07 23:00:00,15.8,326.0,14.2,53.2
DMC 12,2021-01-08 00:00:00,14.1,335.0,13.6,54.7
DMC 12,2021-01-08 01:00:00,11.4,353.0,13.3,56.4
