Scenario,datetime,WS,WD,TM,RH
DMC 100,2024-04-24 12:00:00,24.1,22.0,22.0,49.9
DMC 100,2024-04-24 13:00:00,23.0,20.0,23.4,47.0
DMC 100,2024-04-24 14:00:00,24.2,19.0,24.5,44.3
DMC 100,2024-04-24 15:00:00,25.5,353.0,25.2,40.5
DMC 100,2024-04-24 16:00:00,23.7,357.0,25.6,39.3
DMC 100,2024-04-24 17:00:00,22.6,19.0,25.1,42.5
DMC 100,2024-04-24 18:00:00,16.1,16.0,23.6,49.4
DMC 100,2024-04-24 19:00:00,15.8,31.0,21.5,58.3
DMC 100,2024-04-24 20:00:00,13.7,36.0,20.2,56.6
DMC 100,2024-04-24 21:00:00,13.6,7.0,18.6,60.4
DMC 100,2024-04-24 22:00:00,15.9,337.0,17.0,67.0
DMC 100,2024-04-24 23:00:00,16.7,354.0,16.0,71.6
