Scenario,datetime,WS,WD,TM,RH
DMC 71,2023-01-27 16:00:00,16.0,322.0,25.1,27.9
DMC 71,2023-01-27 17:00:00,19.4,44.0,23.8,34.0
DMC 71,2023-01-27 18:00:00,13.5,35.0,22.8,33.7
DMC 71,2023-01-27 19:00:00,13.6,62.0,20.3,42.8
DMC 71,2023-01-27 20:00:00,12.2,46.0,16.6,53.3
DMC 71,2023-01-27 21:00:00,9.0,0.0,14.2,62.0
DMC 71,2023-01-27 22:00:00,5.0,32.0,12.6,68.0
DMC 71,2023-01-27 23:00:00,5.4,31.0,11.5,73.0
DMC 71,2023-01-28 00:00:00,5.7,358.0,11.0,76.4
DMC 71,2023-01-28 01:00:00,6.4,338.0,10.9,79.0
DMC 71,2023-01-28 02:00:00,7.0,333.0,10.4,83.6
DMC 71,2023-01-28 03:00:00,6.1,0.0,9.9,86.7
