Scenario,datetime,WS,WD,TM,RH
DMC 23,2023-03-24 12:00:00,15.7,24.0,20.5,48.8
DMC 23,2023-03-24 13:00:00,16.1,22.0,22.7,35.8
DMC 23,2023-03-24 14:00:00,16.0,8.0,24.3,27.8
DMC 23,2023-03-24 15:00:00,18.1,26.0,25.0,25.0
DMC 23,2023-03-24 16:00:00,18.0,17.0,24.6,25.0
DMC 23,2023-03-24 17:00:00,18.4,14.0,22.6,37.8
DMC 23,2023-03-24 18:00:00,18.2,31.0,19.2,47.3
DMC 23,2023-03-24 19:00:00,12.6,41.0,16.3,55.8
DMC 23,2023-03-24 20:00:00,8.5,17.0,14.0,63.4
DMC 23,2023-03-24 21:00:00,5.0,18.0,11.6,74.4
DMC 23,2023-03-24 22:00:00,4.6,12.0,11.1,78.6
DMC 23,2023-03-24 23:00:00,4.8,22.0,10.3,82.9
