Scenario,datetime,WS,WD,TM,RH
DMC 96,2021-02-13 14:00:00,12.7,300.0,27.9,35.2
DMC 96,2021-02-13 15:00:00,12.1,280.0,28.7,35.2
DMC 96,2021-02-13 16:00:00,20.7,2.0,27.6,40.5
DMC 96,2021-02-13 17:00:00,18.7,48.0,25.9,44.9
DMC 96,2021-02-13 18:00:00,22.7,11.0,25.0,46.8
DMC 96,2021-02-13 19:00:00,22.1,357.0,23.4,49.0
DMC 96,2021-02-13 20:00:00,21.3,15.0,21.1,51.8
DMC 96,2021-02-13 21:00:00,23.1,18.0,19.2,54.2
DMC 96,2021-02-13 22:00:00,17.7,4.0,17.5,56.8
DMC 96,2021-02-13 23:00:00,18.8,358.0,16.1,58.2
DMC 96,2021-02-14 00:00:00,16.3,344.0,14.6,61.5
DMC 96,2021-02-14 01:00:00,14.4,348.0,14.1,63.2
