Scenario,datetime,WS,WD,TM,RH
DMC 37,2021-01-24 12:00:00,9.5,34.0,24.7,44.4
DMC 37,2021-01-24 13:00:00,9.6,21.0,26.0,38.4
DMC 37,2021-01-24 14:00:00,12.5,340.0,27.4,34.8
DMC 37,2021-01-24 15:00:00,11.6,57.0,28.0,29.4
DMC 37,2021-01-24 16:00:00,17.4,41.0,27.2,31.6
DMC 37,2021-01-24 17:00:00,17.9,21.0,25.0,31.6
DMC 37,2021-01-24 18:00:00,17.3,42.0,23.0,31.7
DMC 37,2021-01-24 19:00:00,12.3,47.0,20.4,30.9
DMC 37,2021-01-24 20:00:00,6.7,54.0,16.8,37.5
DMC 37,2021-01-24 21:00:00,5.5,6.0,13.6,46.8
DMC 37,2021-01-24 22:00:00,6.2,352.0,11.4,56.8
DMC 37,2021-01-24 23:00:00,4.9,37.0,10.0,64.9
