Scenario,datetime,WS,WD,TM,RH
DMC 60,2023-01-15 12:00:00,21.0,2.0,24.6,33.5
DMC 60,2023-01-15 13:00:00,16.3,33.0,26.0,26.6
DMC 60,2023-01-15 14:00:00,14.4,355.0,27.5,25.0
DMC 60,2023-01-15 15:00:00,13.8,19.0,28.2,25.0
DMC 60,2023-01-15 16:00:00,13.4,23.0,28.6,25.8
DMC 60,2023-01-15 17:00:00,11.4,62.0,28.9,25.0
DMC 60,2023-01-15 18:00:00,12.6,343.0,28.7,25.0
DMC 60,2023-01-15 19:00:00,15.3,25.0,27.4,25.6
DMC 60,2023-01-15 20:00:00,21.0,11.0,23.3,37.6
DMC 60,2023-01-15 21:00:00,23.8,9.0,20.8,35.9
DMC 60,2023-01-15 22:00:00,17.9,7.0,18.7,41.6
DMC 60,2023-01-15 23:00:00,18.1,357.0,16.8,50.3
