Scenario,datetime,WS,WD,TM,RH
DMC 90,2021-03-22 12:00:00,5.0,320.0,23.4,39.8
DMC 90,2021-03-22 13:00:00,7.4,78.0,25.5,33.7
DMC 90,2021-03-22 14:00:00,9.0,1.0,27.0,30.2
DMC 90,2021-03-22 15:00:00,9.9,43.0,27.8,27.7
DMC 90,2021-03-22 16:00:00,10.3,313.0,28.0,26.8
DMC 90,2021-03-22 17:00:00,10.3,334.0,27.8,27.3
DMC 90,2021-03-22 18:00:00,9.4,35.0,26.2,33.4
DMC 90,2021-03-22 19:00:00,8.6,30.0,23.5,38.2
DMC 90,2021-03-22 20:00:00,10.7,83.0,22.4,40.0
DMC 90,2021-03-22 21:00:00,10.1,40.0,21.7,45.4
DMC 90,2021-03-22 22:00:00,9.9,40.0,20.4,48.9
DMC 90,2021-03-22 23:00:00,13.6,25.0,17.8,55.2
