Scenario,datetime,WS,WD,TM,RH
DMC 41,2024-01-20 16:00:00,11.7,15.0,26.3,34.1
DMC 41,2024-01-20 17:00:00,14.7,282.0,26.3,34.8
DMC 41,2024-01-20 18:00:00,14.5,18.0,25.6,39.3
DMC 41,2024-01-20 19:00:00,17.4,17.0,23.4,50.9
DMC 41,2024-01-20 20:00:00,13.7,12.0,21.1,58.1
DMC 41,2024-01-20 21:00:00,13.6,18.0,19.8,59.5
DMC 41,2024-01-20 22:00:00,13.5,21.0,18.2,64.0
DMC 41,2024-01-20 23:00:00,14.3,348.0,16.2,69.5
DMC 41,2024-01-21 00:00:00,17.2,336.0,14.3,78.4
DMC 41,2024-01-21 01:00:00,14.4,348.0,13.1,83.2
DMC 41,2024-01-21 02:00:00,16.9,339.0,12.3,83.9
DMC 41,2024-01-21 03:00:00,16.7,355.0,11.5,85.3
