Scenario,datetime,WS,WD,TM,RH
DMC 18,2023-12-25 14:00:00,12.0,161.0,28.3,41.8
DMC 18,2023-12-25 15:00:00,14.8,140.0,28.9,40.2
DMC 18,2023-12-25 16:00:00,19.0,131.0,27.4,44.2
DMC 18,2023-12-25 17:00:00,15.4,127.0,26.6,44.2
DMC 18,2023-12-25 18:00:00,12.9,117.0,25.2,46.8
DMC 18,2023-12-25 19:00:00,11.1,132.0,22.8,55.3
DMC 18,2023-12-25 20:00:00,8.5,128.0,19.4,66.2
DMC 18,2023-12-25 21:00:00,5.3,134.0,17.2,73.4
DMC 18,2023-12-25 22:00:00,3.1,157.0,14.9,84.1
DMC 18,2023-12-25 23:00:00,2.1,180.0,13.4,89.8
DMC 18,2023-12-26 00:00:00,6.5,353.0,13.4,83.6
DMC 18,2023-12-26 01:00:00,11.0,1.0,13.0,82.9
