Scenario,datetime,WS,WD,TM,RH
DMC 82,2023-01-16 14:00:00,10.7,51.0,25.3,27.1
DMC 82,2023-01-16 15:00:00,14.1,342.0,25.1,26.3
DMC 82,2023-01-16 16:00:00,13.5,35.0,25.8,25.0
DMC 82,2023-01-16 17:00:00,13.8,337.0,24.8,31.6
DMC 82,2023-01-16 18:00:00,12.2,329.0,24.2,34.2
DMC 82,2023-01-16 19:00:00,11.6,355.0,22.0,40.8
DMC 82,2023-01-16 20:00:00,8.3,4.0,18.9,46.6
DMC 82,2023-01-16 21:00:00,7.7,39.0,16.2,55.1
DMC 82,2023-01-16 22:00:00,5.8,26.0,14.3,63.4
DMC 82,2023-01-16 23:00:00,6.0,27.0,12.6,70.8
DMC 82,2023-01-17 00:00:00,6.0,15.0,11.8,74.5
DMC 82,2023-01-17 01:00:00,3.1,27.0,10.1,79.4
