Scenario,datetime,WS,WD,TM,RH
DMC 29,2024-03-04 14:00:00,14.4,4.0,26.7,43.6
DMC 29,2024-03-04 15:00:00,13.6,14.0,26.8,41.1
DMC 29,2024-03-04 16:00:00,13.3,47.0,26.8,40.8
DMC 29,2024-03-04 17:00:00,16.8,32.0,26.3,47.6
DMC 29,2024-03-04 18:00:00,18.1,34.0,23.7,54.6
DMC 29,2024-03-04 19:00:00,16.9,55.0,21.8,59.6
DMC 29,2024-03-04 20:00:00,11.5,44.0,19.3,66.3
DMC 29,2024-03-04 21:00:00,9.0,49.0,17.8,74.7
DMC 29,2024-03-04 22:00:00,6.3,31.0,17.1,78.2
DMC 29,2024-03-04 23:00:00,5.1,26.0,16.4,81.9
DMC 29,2024-03-05 00:00:00,5.7,328.0,16.5,81.9
DMC 29,2024-03-05 01:00:00,7.1,359.0,16.6,82.4
