Scenario,datetime,WS,WD,TM,RH
DMC 45,2021-02-27 14:00:00,23.5,353.0,27.6,33.1
DMC 45,2021-02-27 15:00:00,23.9,352.0,28.6,29.7
DMC 45,2021-02-27 16:00:00,25.2,1.0,28.8,29.6
DMC 45,2021-02-27 17:00:00,25.6,340.0,28.2,32.0
DMC 45,2021-02-27 18:00:00,27.4,9.0,25.9,30.4
DMC 45,2021-02-27 19:00:00,23.8,347.0,23.4,31.3
DMC 45,2021-02-27 20:00:00,16.2,10.0,21.2,38.3
DMC 45,2021-02-27 21:00:00,13.5,357.0,19.1,47.6
DMC 45,2021-02-27 22:00:00,21.3,348.0,17.2,54.8
DMC 45,2021-02-27 23:00:00,18.9,331.0,15.8,60.6
DMC 45,2021-02-28 00:00:00,17.7,351.0,15.3,62.7
DMC 45,2021-02-28 01:00:00,21.9,336.0,14.6,67.1
