Scenario,datetime,WS,WD,TM,RH
DMC 81,2023-12-10 16:00:00,9.5,89.0,25.7,31.2
DMC 81,2023-12-10 17:00:00,13.2,238.0,25.3,34.2
DMC 81,2023-12-10 18:00:00,15.0,157.0,22.5,37.1
DMC 81,2023-12-10 19:00:00,9.1,133.0,19.9,41.2
DMC 81,2023-12-10 20:00:00,9.6,152.0,16.7,51.0
DMC 81,2023-12-10 21:00:00,7.1,145.0,14.8,60.7
DMC 81,2023-12-10 22:00:00,4.5,101.0,12.6,72.6
DMC 81,2023-12-10 23:00:00,5.4,15.0,10.8,84.1
DMC 81,2023-12-11 00:00:00,6.4,176.0,10.0,87.4
DMC 81,2023-12-11 01:00:00,4.1,180.0,8.1,94.1
DMC 81,2023-12-11 02:00:00,4.0,234.0,6.7,95.8
DMC 81,2023-12-11 03:00:00,6.1,253.0,6.6,97.2
