Scenario,datetime,WS,WD,TM,RH
DMC 57,2024-03-31 16:00:00,14.3,37.0,28.2,28.1
DMC 57,2024-03-31 17:00:00,16.1,344.0,26.4,34.3
DMC 57,2024-03-31 18:00:00,14.1,35.0,23.8,38.9
DMC 57,2024-03-31 19:00:00,9.9,38.0,19.8,46.5
DMC 57,2024-03-31 20:00:00,7.5,35.0,16.5,56.7
DMC 57,2024-03-31 21:00:00,4.2,12.0,14.2,64.8
DMC 57,2024-03-31 22:00:00,4.1,355.0,12.8,69.4
DMC 57,2024-03-31 23:00:00,3.1,15.0,11.2,75.8
DMC 57,2024-04-01 00:00:00,3.2,10.0,10.4,79.8
DMC 57,2024-04-01 01:00:00,4.3,12.0,9.6,84.8
DMC 57,2024-04-01 02:00:00,2.6,16.0,8.4,89.9
DMC 57,2024-04-01 03:00:00,4.3,180.0,8.8,93.7
