Scenario,datetime,WS,WD,TM,RH
DMC 83,2020-12-27 14:00:00,8.3,331.0,25.5,49.8
DMC 83,2020-12-27 15:00:00,10.9,23.0,25.9,50.5
DMC 83,2020-12-27 16:00:00,11.3,44.0,25.6,52.6
DMC 83,2020-12-27 17:00:00,15.6,335.0,23.8,59.8
DMC 83,2020-12-27 18:00:00,15.2,21.0,21.4,67.2
DMC 83,2020-12-27 19:00:00,12.2,345.0,19.0,75.9
DMC 83,2020-12-27 20:00:00,9.6,355.0,17.5,80.5
DMC 83,2020-12-27 21:00:00,8.9,2.0,16.5,81.1
DMC 83,2020-12-27 22:00:00,7.2,21.0,14.8,84.1
DMC 83,2020-12-27 23:00:00,6.4,38.0,14.3,86.6
DMC 83,2020-12-28 00:00:00,6.2,34.0,13.7,90.1
DMC 83,2020-12-28 01:00:00,6.6,336.0,13.1,92.6
