Scenario,datetime,WS,WD,TM,RH
DMC 16,2023-02-28 16:00:00,22.9,77.0,29.4,29.5
DMC 16,2023-02-28 17:00:00,28.2,37.0,28.4,30.4
DMC 16,2023-02-28 18:00:00,29.4,7.0,26.0,32.7
DMC 16,2023-02-28 19:00:00,27.5,358.0,22.9,40.5
DMC 16,2023-02-28 20:00:00,22.5,11.0,21.1,49.7
DMC 16,2023-02-28 21:00:00,18.4,3.0,19.7,54.6
DMC 16,2023-02-28 22:00:00,15.1,357.0,18.4,58.6
DMC 16,2023-02-28 23:00:00,17.5,0.0,18.3,58.3
DMC 16,2023-03-01 00:00:00,19.2,0.0,17.7,60.1
DMC 16,2023-03-01 01:00:00,17.2,349.0,16.9,62.7
DMC 16,2023-03-01 02:00:00,16.8,21.0,16.8,64.0
DMC 16,2023-03-01 03:00:00,15.7,3.0,16.3,71.1
