Scenario,datetime,WS,WD,TM,RH
DMC 69,2024-04-22 16:00:00,17.9,230.0,27.1,40.4
DMC 69,2024-04-22 17:00:00,10.0,230.0,26.8,42.6
DMC 69,2024-04-22 18:00:00,10.1,187.0,25.2,45.3
DMC 69,2024-04-22 19:00:00,11.6,163.0,23.0,47.7
DMC 69,2024-04-22 20:00:00,9.9,151.0,22.1,42.5
DMC 69,2024-04-22 21:00:00,3.9,180.0,20.5,51.8
DMC 69,2024-04-22 22:00:00,8.2,346.0,19.7,60.2
DMC 69,2024-04-22 23:00:00,4.0,318.0,18.7,75.7
DMC 69,2024-04-23 00:00:00,2.7,237.0,17.9,77.1
DMC 69,2024-04-23 01:00:00,4.5,180.0,17.8,78.9
DMC 69,2024-04-23 02:00:00,2.9,124.0,17.3,82.1
DMC 69,2024-04-23 03:00:00,3.8,258.0,16.6,91.0
