Scenario,datetime,WS,WD,TM,RH
DMC 52,2020-12-21 12:00:00,15.0,349.0,22.0,42.6
DMC 52,2020-12-21 13:00:00,15.5,4.0,23.5,38.2
DMC 52,2020-12-21 14:00:00,14.0,49.0,24.8,32.8
DMC 52,2020-12-21 15:00:00,16.3,356.0,25.6,30.6
DMC 52,2020-12-21 16:00:00,15.2,33.0,25.6,32.8
DMC 52,2020-12-21 17:00:00,14.5,6.0,25.0,39.6
DMC 52,2020-12-21 18:00:00,14.9,12.0,23.3,42.4
DMC 52,2020-12-21 19:00:00,15.7,52.0,19.8,55.2
DMC 52,2020-12-21 20:00:00,10.7,37.0,15.5,66.6
DMC 52,2020-12-21 21:00:00,6.3,35.0,13.4,73.0
DMC 52,2020-12-21 22:00:00,5.5,39.0,11.8,80.4
DMC 52,2020-12-21 23:00:00,4.3,30.0,10.8,85.1
