Scenario,datetime,WS,WD,TM,RH
DMC 77,2024-03-19 14:00:00,18.5,357.0,25.6,27.0
DMC 77,2024-03-19 15:00:00,22.2,26.0,25.6,27.8
DMC 77,2024-03-19 16:00:00,21.0,10.0,25.5,29.8
DMC 77,2024-03-19 17:00:00,21.0,25.0,24.6,33.6
DMC 77,2024-03-19 18:00:00,19.8,24.0,22.8,40.8
DMC 77,2024-03-19 19:00:00,17.0,14.0,19.5,50.8
DMC 77,2024-03-19 20:00:00,15.2,45.0,16.2,60.3
DMC 77,2024-03-19 21:00:00,7.8,30.0,14.0,66.9
DMC 77,2024-03-19 22:00:00,7.3,28.0,12.8,71.2
DMC 77,2024-03-19 23:00:00,4.9,26.0,11.7,74.9
DMC 77,2024-03-20 00:00:00,5.2,20.0,11.6,76.4
DMC 77,2024-03-20 01:00:00,5.5,13.0,11.4,77.9
