Scenario,datetime,WS,WD,TM,RH
DMC 15,2021-03-29 16:00:00,11.1,174.0,27.0,33.3
DMC 15,2021-03-29 17:00:00,10.1,163.0,26.2,35.4
DMC 15,2021-03-29 18:00:00,10.9,156.0,22.8,45.6
DMC 15,2021-03-29 19:00:00,6.8,54.0,18.5,61.0
DMC 15,2021-03-29 20:00:00,2.5,34.0,16.0,69.6
DMC 15,2021-03-29 21:00:00,4.1,33.0,14.3,75.9
DMC 15,2021-03-29 22:00:00,5.9,22.0,12.8,82.2
DMC 15,2021-03-29 23:00:00,5.1,47.0,10.9,89.4
DMC 15,2021-03-30 00:00:00,4.8,60.0,9.7,95.9
DMC 15,2021-03-30 01:00:00,5.4,20.0,9.7,98.8
DMC 15,2021-03-30 02:00:00,5.9,17.0,9.9,100.0
DMC 15,2021-03-30 03:00:00,5.9,346.0,10.0,100.0
