Scenario,datetime,WS,WD,TM,RH
DMC 17,2024-02-08 16:00:00,14.4,325.0,26.6,29.8
DMC 17,2024-02-08 17:00:00,15.2,345.0,26.5,30.3
DMC 17,2024-02-08 18:00:00,16.7,323.0,25.9,31.7
DMC 17,2024-02-08 19:00:00,21.0,18.0,23.6,38.3
DMC 17,2024-02-08 20:00:00,21.2,18.0,20.3,46.6
DMC 17,2024-02-08 21:00:00,21.8,11.0,18.2,49.5
DMC 17,2024-02-08 22:00:00,20.3,359.0,16.0,50.9
DMC 17,2024-02-08 23:00:00,18.3,357.0,14.6,54.4
DMC 17,2024-02-09 00:00:00,16.6,4.0,13.4,60.6
DMC 17,2024-02-09 01:00:00,16.8,348.0,12.5,66.6
DMC 17,2024-02-09 02:00:00,18.2,0.0,11.9,69.3
DMC 17,2024-02-09 03:00:00,16.9,355.0,11.4,73.7
