Scenario,datetime,WS,WD,TM,RH
DMC 89,2024-01-30 14:00:00,13.9,113.0,26.2,47.3
DMC 89,2024-01-30 15:00:00,15.5,223.0,26.4,41.1
DMC 89,2024-01-30 16:00:00,17.6,160.0,26.4,41.2
DMC 89,2024-01-30 17:00:00,16.4,169.0,25.0,50.1
DMC 89,2024-01-30 18:00:00,12.0,166.0,23.1,56.3
DMC 89,2024-01-30 19:00:00,10.4,56.0,20.2,68.0
DMC 89,2024-01-30 20:00:00,9.5,3.0,17.9,75.7
DMC 89,2024-01-30 21:00:00,9.1,347.0,16.7,79.2
DMC 89,2024-01-30 22:00:00,7.5,355.0,15.4,83.7
DMC 89,2024-01-30 23:00:00,5.6,5.0,14.4,87.5
DMC 89,2024-01-31 00:00:00,4.4,332.0,13.7,88.7
DMC 89,2024-01-31 01:00:00,4.7,31.0,12.5,92.2
