Scenario,datetime,WS,WD,TM,RH
DMC 32,2024-04-28 12:00:00,13.9,23.0,22.2,50.5
DMC 32,2024-04-28 13:00:00,13.0,21.0,24.4,41.8
DMC 32,2024-04-28 14:00:00,14.1,6.0,26.1,33.0
DMC 32,2024-04-28 15:00:00,12.0,12.0,26.7,33.3
DMC 32,2024-04-28 16:00:00,12.3,348.0,26.6,35.0
DMC 32,2024-04-28 17:00:00,17.5,65.0,22.2,50.4
DMC 32,2024-04-28 18:00:00,9.4,31.0,19.3,52.5
DMC 32,2024-04-28 19:00:00,6.4,32.0,17.4,56.0
DMC 32,2024-04-28 20:00:00,5.8,37.0,15.5,60.4
DMC 32,2024-04-28 21:00:00,1.9,57.0,13.2,69.0
DMC 32,2024-04-28 22:00:00,2.4,281.0,11.6,77.3
DMC 32,2024-04-28 23:00:00,2.7,26.0,11.5,76.9
