Scenario,datetime,WS,WD,TM,RH
DMC 94,2020-12-26 14:00:00,14.2,30.0,25.1,50.8
DMC 94,2020-12-26 15:00:00,14.0,39.0,26.8,43.5
DMC 94,2020-12-26 16:00:00,14.9,21.0,27.2,44.1
DMC 94,2020-12-26 17:00:00,14.8,36.0,26.4,48.1
DMC 94,2020-12-26 18:00:00,12.6,22.0,25.4,52.5
DMC 94,2020-12-26 19:00:00,13.3,40.0,22.0,61.0
DMC 94,2020-12-26 20:00:00,10.5,59.0,18.4,72.2
DMC 94,2020-12-26 21:00:00,5.5,22.0,15.9,80.3
DMC 94,2020-12-26 22:00:00,5.4,62.0,13.7,87.7
DMC 94,2020-12-26 23:00:00,5.0,47.0,12.4,91.7
DMC 94,2020-12-27 00:00:00,5.5,31.0,12.0,93.3
DMC 94,2020-12-27 01:00:00,7.5,26.0,11.7,96.8
