Scenario,datetime,WS,WD,FireScenario
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
test,2007-03-09,21,142,1
