Scenario,datetime,WS,WD,FireScenario
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
test,2007-03-09,22,69,1
