Scenario,datetime,WS,WD,FireScenario
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
test,2007-03-09,16,35,1
