Scenario,datetime,WS,WD,FireScenario
1,10/7/2017 12:00,3.24,23,EWE
1,10/7/2017 13:00,4.68,23,EWE
1,10/7/2017 14:00,4.68,23,EWE
1,10/7/2017 15:00,5.04,214,EWE
1,10/7/2017 16:00,2.52,225,EWE
1,10/7/2017 17:00,1.44,338,EWE
1,10/7/2017 18:00,0.0,281,EWE
1,10/7/2017 19:00,0.0,191,EWE
1,10/7/2017 20:00,0.0,146,EWE
1,10/7/2017 21:00,0.0,225,EWE
1,10/7/2017 22:00,0.0,113,EWE
1,10/7/2017 23:00,0.0,146,EWE
1,10/8/2017 0:00,0.0,203,EWE
1,10/8/2017 1:00,0.0,214,EWE
1,10/8/2017 2:00,0.0,236,EWE
1,10/8/2017 3:00,0.0,225,EWE
