ncols 20                  
nrows 20                  
xllcorner 457900                  
yllcorner 5716800                  
cellsize 100                  
NODATA_value -9999                  
0.810	0.660	0.440	0	0	0	0	0	0	0	0.640	0.310	0.0900	0.0400	0.0300	0.0600	0.170	0.950	0.0300	0.250
0	0	0	0	0	0	0	0	0	0	0	0.920	0.260	0.890	0.740	0.680	0.390	0.920	0.560	0.290
0	0	0	0	0	0.310	0	0.350	0	0	0	0.430	0.800	0.910	0.500	0.0400	0.830	0.0500	0.880	0.620
0	0	0	0	0.550	0.530	0.770	0.510	0	0	0.530	0.180	0.0300	0.800	0.480	0.0700	0.800	0.740	0.670	0.270
0	0	0	0	0	0	0.820	0.400	0	0	0.350	0.900	0.930	0.100	0.900	0.520	0.0600	0.270	0.190	0.820
0.100	0.760	0	0	0	0.600	0	0.0800	0	0	0.940	0.980	0.730	0.260	0.610	0.100	0.400	0.420	0.370	0.980
0.280	0.740	0	0.550	0	0.260	0.0800	0.240	0	0.370	0.880	0.440	0.490	0.340	0.620	0.820	0.530	0.550	0.460	0.730
0.550	0.390	0.650	0	0	0	0.400	0.120	0	0	0.550	0.110	0.580	0.680	0.860	0.820	0.420	0.940	0.980	0.340
0	0	0	0.150	0	0	0	0.180	0	0.780	0.620	0.260	0.240	0.140	0.810	0.720	0.660	0.420	0.160	0.580
0.960	0.170	0.750	0	0	0	0	0.240	0	0.0800	0.590	0.410	0.460	0.720	0.580	0.150	0.630	0.980	0.860	0.110
0.160	0.710	0.280	0.840	0.0800	0.450	0	0	0.230	0.930	0.210	0.590	0.960	0.110	0.180	0.660	0.290	0.300	0.640	0.910
0.970	0.0300	0.680	0.250	0.0500	0.0800	0.910	0	0.350	0.780	0	0.260	0.550	0.650	0.240	0.520	0.430	0.700	0.380	0.880
0	0	0.660	0.810	0.530	0.230	0.180	0	0	0	0	0.600	0.520	0.490	0.890	0.970	0.0200	0.670	0.190	0.820
0.490	0.0500	0.160	0.240	0.780	0.910	0.260	0.940	0	0.440	0	0.710	0.230	0.780	0.0300	0.650	0.980	0.540	0.430	0.260
0.800	0.100	0	0.930	0.930	0.150	0.150	0.490	0	0	0	0.220	0.490	0.720	0.490	0.800	0.170	0.700	0.480	0.590
0.140	0.820	0.500	0.350	0.130	0.830	0.140	0.490	0	0	0	0	0.620	0.900	0.170	0.450	0.110	0.670	0.120	0.0200
0.420	0.690	0	0	0.570	0.540	0.870	0.340	0.650	0	0	0.300	0.680	0.890	0.980	0.430	0.370	0.180	0.590	0.430
0.920	0.320	0.340	0	0	1	0.580	0.900	0.730	0.510	0.170	0.320	0.400	0.330	0.710	0.830	0.200	0.130	0.230	0.310
0.790	0.950	0.590	0.620	0	0.0800	0.550	0.370	0.650	0.820	0.230	0.420	0.370	0.700	0.500	0.0800	0.490	1	0.380	0.160
0.960	0.0300	0.220	0.470	0.340	0.440	0.140	0.110	0.450	0.790	0.440	0.510	0.990	0.200	0.470	0.130	0.340	0.170	0.580	0.180
