fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern
PCH,51.621244,-115.608378,134.0,,,6.48434686660767,234.473861694336,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,141.037979125977,,,11.0328931808472,254.113891601563,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,148.151901245117,,,8.25894927978516,275.591400146484,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,152.0,,,3.63971281051636,307.555755615234,,,,,3,,,,,,,20,,,,
PCH,51.621244,-115.608378,152.0,,,4.06484699249268,349.369934082031,,,,,3,,,,,,,20,,,,
PCH,51.621244,-115.608378,153.0,,,5.18160820007324,351.679504394531,,,,,3,,,,,,,20,,,,
PCH,51.621244,-115.608378,153.0,,,10.8079042434692,70.5941772460938,,,,,3,,,,,,,20,,,,
PCH,51.621244,-115.608378,139.405059814453,,,18.98828125,87.74267578125,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,127.69620513916,,,8.31132793426514,86.4735794067383,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,128.341766357422,,,1.45273888111115,263.263793945313,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,129.620254516602,,,8.54539394378662,356.688873291016,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,129.0,,,16.3475551605225,5.69794273376465,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,127.455696105957,,,6.23740863800049,3.48968005180359,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,128.493667602539,,,11.1057653427124,262.111633300781,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,142.126586914063,,,18.2000637054443,277.291687011719,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,152.569625854492,,,17.7822494506836,310.292907714844,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,160.215194702148,,,15.7126865386963,323.616027832031,,,,,3,,,,,,,20,,,,
PCH,51.621244,-115.608378,165.0,,,0.96260005235672,99.5883560180664,,,,,3,,,,,,,20,,,,
PCH,51.621244,-115.608378,158.949371337891,,,24.3743057250977,120.353363037109,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,136.949371337891,,,24.5944862365723,103.077758789063,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,127.0,,,2.51574993133545,88.8618545532227,,,,,4,,,,,,,20,,,,
PCH,51.621244,-115.608378,133.594940185547,,,4.25142621994019,310.223388671875,,,,,4,,,,,,,20,,,,
